WKT,name,description
"POINT (38.838161 9.030209 0.0)",Junction 1,Junction where you can go from Wesen road to Saint Michael CMC church
"POINT (38.8280457 9.0352745)",Junction 2,02 Market
"POINT (38.8265209 9.025706)",Junction 3,Junction that leads from Wesen road to Salite Mehret
"POINT (38.8184286 9.0238532)",Junction 4,Haile Grand Hotel Square

"POINT (38.8102158 9.021481)",Junction 5,Road that takes from Megnaigna main road to Lamberet Road
"POINT (38.8020346 9.021072)",Junction 6,Crossroads at upper Megenagna square that leads to Yeka Sub City Building

"POINT (38.801274 9.0199135)",Junction 7,Megenagna square exit to shola market

"POINT (38.794909 9.021023 0.0)",Junction 8,Lower Shola Market crossroads
"POINT (38.7959742 9.024631)",Junction 9,Upper Shola Market crossroads

"POINT (38.785952 9.0305668)",Junction 10,Junction in front of British Embassy

"POINT (38.780953 9.0234721)",Junction 11,Signal Condominium Square

"POINT (38.7766727 9.0233591)",Junction 12,Abuware Lower Square

"POINT (38.8644071 9.0407611)",Junction 13,Kotebe Kara
"POINT (38.8744599 9.0577788)",Junction 14,Kara Gedera Roundabout
"POINT (38.8785985 9.0567913)",Junction 15,Tafo Square
"POINT (38.8537417 9.0357848)",Junction 16,Abem Hotel
"POINT (38.7681765 9.0465479)",Junction 17,Kagnew Peace Keeping Square
"POINT (38.7773763 9.0569259)",Junction 18,Ferensay Mazoria
"POINT (38.7891466 9.0625764)",Junction 19,Ferensay St Kidane Meheret Square
